date,key,value
09/13/2015,Ted Cruz,4.77
09/20/2015,Ted Cruz,3.90
09/27/2015,Ted Cruz,2.42
10/04/2015,Ted Cruz,1.66
10/11/2015,Ted Cruz,1.54
10/18/2015,Ted Cruz,1.73
10/25/2015,Ted Cruz,5.87
11/01/2015,Ted Cruz,2.98
11/08/2015,Ted Cruz,4.89
11/15/2015,Ted Cruz,4.23
11/22/2015,Ted Cruz,3.55
11/29/2015,Ted Cruz,4.63
12/06/2015,Ted Cruz,6.41
12/13/2015,Ted Cruz,13.92
12/20/2015,Ted Cruz,9.96
12/27/2015,Ted Cruz,4.41
01/03/2016,Ted Cruz,8.93
01/10/2016,Ted Cruz,15.74
01/17/2016,Ted Cruz,12.24
01/24/2016,Ted Cruz,13.36
01/31/2016,Ted Cruz,36.51
02/07/2016,Ted Cruz,20.01
02/14/2016,Ted Cruz,21.08
02/21/2016,Ted Cruz,22.99
02/28/2016,Ted Cruz,34.62
03/06/2016,Ted Cruz,29.48
03/13/2016,Ted Cruz,23.64
03/20/2016,Ted Cruz,41.91
03/27/2016,Ted Cruz,26.08
04/03/2016,Ted Cruz,19.19
04/10/2016,Ted Cruz,16.79
04/17/2016,Ted Cruz,16.63
04/24/2016,Ted Cruz,21.79
05/01/2016,Ted Cruz,15.25
05/08/2016,Ted Cruz,4.96
05/15/2016,Ted Cruz,2.91
05/22/2016,Ted Cruz,2.49
05/29/2016,Ted Cruz,2.18
12/28/2014,Carly Fiorina,0.00
01/04/2015,Carly Fiorina,0.24
01/11/2015,Carly Fiorina,0.28
01/18/2015,Carly Fiorina,0.18
01/25/2015,Carly Fiorina,0.29
02/01/2015,Carly Fiorina,0.27
02/08/2015,Carly Fiorina,0.13
02/15/2015,Carly Fiorina,0.31
02/22/2015,Carly Fiorina,0.71
03/01/2015,Carly Fiorina,0.34
03/08/2015,Carly Fiorina,0.29
03/15/2015,Carly Fiorina,0.25
03/22/2015,Carly Fiorina,0.21
03/29/2015,Carly Fiorina,1.28
04/05/2015,Carly Fiorina,0.55
04/12/2015,Carly Fiorina,0.95
04/19/2015,Carly Fiorina,0.98
04/26/2015,Carly Fiorina,0.40
05/03/2015,Carly Fiorina,6.04
05/10/2015,Carly Fiorina,1.21
05/17/2015,Carly Fiorina,0.51
05/24/2015,Carly Fiorina,1.05
05/31/2015,Carly Fiorina,0.75
06/07/2015,Carly Fiorina,0.89
06/14/2015,Carly Fiorina,0.91
06/21/2015,Carly Fiorina,0.96
06/28/2015,Carly Fiorina,0.60
07/05/2015,Carly Fiorina,0.55
07/12/2015,Carly Fiorina,0.69
07/19/2015,Carly Fiorina,0.84
07/26/2015,Carly Fiorina,0.77
08/02/2015,Carly Fiorina,11.13
08/09/2015,Carly Fiorina,7.31
08/16/2015,Carly Fiorina,2.96
08/23/2015,Carly Fiorina,1.71
08/30/2015,Carly Fiorina,2.02
09/06/2015,Carly Fiorina,5.51
09/13/2015,Carly Fiorina,24.82
09/20/2015,Carly Fiorina,11.30
09/27/2015,Carly Fiorina,4.22
10/04/2015,Carly Fiorina,2.15
10/11/2015,Carly Fiorina,1.76
10/18/2015,Carly Fiorina,1.26
10/25/2015,Carly Fiorina,3.16
11/01/2015,Carly Fiorina,3.16
11/08/2015,Carly Fiorina,3.38
11/15/2015,Carly Fiorina,1.06
11/22/2015,Carly Fiorina,0.80
11/29/2015,Carly Fiorina,1.33
12/06/2015,Carly Fiorina,1.00
12/13/2015,Carly Fiorina,3.60
12/20/2015,Carly Fiorina,1.20
12/27/2015,Carly Fiorina,1.19
01/03/2016,Carly Fiorina,0.98
01/10/2016,Carly Fiorina,1.65
01/17/2016,Carly Fiorina,1.14
01/24/2016,Carly Fiorina,1.99
01/31/2016,Carly Fiorina,2.47
02/07/2016,Carly Fiorina,4.24
02/14/2016,Carly Fiorina,0.80
02/21/2016,Carly Fiorina,0.77
02/28/2016,Carly Fiorina,0.58
03/06/2016,Carly Fiorina,1.28
03/13/2016,Carly Fiorina,0.73
03/20/2016,Carly Fiorina,0.41
03/27/2016,Carly Fiorina,0.52
04/03/2016,Carly Fiorina,0.00
04/10/2016,Carly Fiorina,0.24
04/17/2016,Carly Fiorina,0.24
04/24/2016,Carly Fiorina,5.97
05/01/2016,Carly Fiorina,1.67
05/08/2016,Carly Fiorina,0.41
05/15/2016,Carly Fiorina,0.00
05/22/2016,Carly Fiorina,0.00
05/29/2016,Carly Fiorina,0.19
12/28/2014,Jim Gilmore,0.00
01/04/2015,Jim Gilmore,0.00
01/11/2015,Jim Gilmore,0.00
01/18/2015,Jim Gilmore,0.00
01/25/2015,Jim Gilmore,0.00
02/01/2015,Jim Gilmore,0.00
02/08/2015,Jim Gilmore,0.00
02/15/2015,Jim Gilmore,0.00
02/22/2015,Jim Gilmore,0.00
03/01/2015,Jim Gilmore,0.00
03/08/2015,Jim Gilmore,0.00
03/15/2015,Jim Gilmore,0.00
03/22/2015,Jim Gilmore,0.00
03/29/2015,Jim Gilmore,0.00
04/05/2015,Jim Gilmore,0.00
04/12/2015,Jim Gilmore,0.00
04/19/2015,Jim Gilmore,0.00
04/26/2015,Jim Gilmore,0.00
05/03/2015,Jim Gilmore,0.00
05/10/2015,Jim Gilmore,0.00
05/17/2015,Jim Gilmore,0.00
05/24/2015,Jim Gilmore,0.00
05/31/2015,Jim Gilmore,0.00
06/07/2015,Jim Gilmore,0.00
06/14/2015,Jim Gilmore,0.00
06/21/2015,Jim Gilmore,0.00
06/28/2015,Jim Gilmore,0.00
07/05/2015,Jim Gilmore,0.11
07/12/2015,Jim Gilmore,0.19
07/19/2015,Jim Gilmore,0.26
07/26/2015,Jim Gilmore,0.34
08/02/2015,Jim Gilmore,0.40
08/09/2015,Jim Gilmore,0.11
08/16/2015,Jim Gilmore,0.11
08/23/2015,Jim Gilmore,0.12
08/30/2015,Jim Gilmore,0.12
09/06/2015,Jim Gilmore,0.12
09/13/2015,Jim Gilmore,0.21
09/20/2015,Jim Gilmore,0.11
09/27/2015,Jim Gilmore,0.12
10/04/2015,Jim Gilmore,0.13
10/11/2015,Jim Gilmore,0.11
10/18/2015,Jim Gilmore,0.11
10/25/2015,Jim Gilmore,0.11
11/01/2015,Jim Gilmore,0.10
11/08/2015,Jim Gilmore,0.09
11/15/2015,Jim Gilmore,0.09
11/22/2015,Jim Gilmore,0.09
11/29/2015,Jim Gilmore,0.09
12/06/2015,Jim Gilmore,0.10
12/13/2015,Jim Gilmore,0.11
12/20/2015,Jim Gilmore,0.10
12/27/2015,Jim Gilmore,0.10
01/03/2016,Jim Gilmore,0.10
01/10/2016,Jim Gilmore,0.10
01/17/2016,Jim Gilmore,0.09
01/24/2016,Jim Gilmore,0.56
01/31/2016,Jim Gilmore,0.82
02/07/2016,Jim Gilmore,1.25
02/14/2016,Jim Gilmore,0.20
02/21/2016,Jim Gilmore,0.11
02/28/2016,Jim Gilmore,0.09
03/06/2016,Jim Gilmore,0.00
03/13/2016,Jim Gilmore,0.00
03/20/2016,Jim Gilmore,0.00
03/27/2016,Jim Gilmore,0.00
04/03/2016,Jim Gilmore,0.00
04/10/2016,Jim Gilmore,0.00
04/17/2016,Jim Gilmore,0.00
04/24/2016,Jim Gilmore,0.00
05/01/2016,Jim Gilmore,0.00
05/08/2016,Jim Gilmore,0.00
05/15/2016,Jim Gilmore,0.00
05/22/2016,Jim Gilmore,0.00
05/29/2016,Jim Gilmore,0.00
12/28/2014,Lindsey Graham,0.00
01/04/2015,Lindsey Graham,0.13
01/11/2015,Lindsey Graham,0.12
01/18/2015,Lindsey Graham,0.27
01/25/2015,Lindsey Graham,0.27
02/01/2015,Lindsey Graham,0.22
02/08/2015,Lindsey Graham,0.15
02/15/2015,Lindsey Graham,0.11
02/22/2015,Lindsey Graham,0.23
03/01/2015,Lindsey Graham,0.25
03/08/2015,Lindsey Graham,0.72
03/15/2015,Lindsey Graham,0.20
03/22/2015,Lindsey Graham,0.19
03/29/2015,Lindsey Graham,0.14
04/05/2015,Lindsey Graham,0.23
04/12/2015,Lindsey Graham,0.21
04/19/2015,Lindsey Graham,0.51
04/26/2015,Lindsey Graham,0.15
05/03/2015,Lindsey Graham,0.23
05/10/2015,Lindsey Graham,0.12
05/17/2015,Lindsey Graham,0.75
05/24/2015,Lindsey Graham,0.35
