date,Candidate,search interest (indexed 1-100),
Sep 20 2015,Jeb Bush,3.17,
Sep 21 2015,Jeb Bush,2.71,
Sep 22 2015,Jeb Bush,2.72,
Sep 23 2015,Jeb Bush,2.42,
Sep 24 2015,Jeb Bush,1.97,
Sep 25 2015,Jeb Bush,2.20,
Sep 26 2015,Jeb Bush,1.63,
Sep 27 2015,Jeb Bush,1.55,
Sep 28 2015,Jeb Bush,1.73,
Sep 29 2015,Jeb Bush,1.89,
Sep 30 2015,Jeb Bush,1.86,
Oct 1 2015,Jeb Bush,2.02,
Oct 2 2015,Jeb Bush,2.44,
Oct 3 2015,Jeb Bush,3.96,
Oct 4 2015,Jeb Bush,1.91,
Oct 5 2015,Jeb Bush,1.66,
Oct 6 2015,Jeb Bush,1.46,
Oct 7 2015,Jeb Bush,1.73,
Oct 8 2015,Jeb Bush,1.46,
Oct 9 2015,Jeb Bush,1.36,
Oct 10 2015,Jeb Bush,1.01,
Oct 11 2015,Jeb Bush,1.10,
Oct 12 2015,Jeb Bush,1.00,
Oct 13 2015,Jeb Bush,1.94,
Oct 14 2015,Jeb Bush,2.10,
Oct 15 2015,Jeb Bush,1.84,
Oct 16 2015,Jeb Bush,1.84,
Oct 17 2015,Jeb Bush,1.62,
Oct 18 2015,Jeb Bush,2.24,
Oct 19 2015,Jeb Bush,2.31,
Oct 20 2015,Jeb Bush,2.18,
Oct 21 2015,Jeb Bush,1.90,
Oct 22 2015,Jeb Bush,1.84,
Oct 23 2015,Jeb Bush,2.20,
Oct 24 2015,Jeb Bush,2.12,
Oct 25 2015,Jeb Bush,2.09,
Oct 26 2015,Jeb Bush,3.00,
Oct 27 2015,Jeb Bush,3.04,
Oct 28 2015,Jeb Bush,2.50,
Oct 29 2015,Jeb Bush,9.82,
Oct 30 2015,Jeb Bush,5.85,
Oct 31 2015,Jeb Bush,5.18,
Nov 1 2015,Jeb Bush,3.43,
Nov 2 2015,Jeb Bush,3.17,
Nov 3 2015,Jeb Bush,3.04,
Nov 4 2015,Jeb Bush,3.41,
Nov 5 2015,Jeb Bush,3.79,
Nov 6 2015,Jeb Bush,4.43,
Nov 7 2015,Jeb Bush,1.75,
Nov 8 2015,Jeb Bush,1.59,
Nov 9 2015,Jeb Bush,1.70,
Nov 10 2015,Jeb Bush,2.47,
Nov 11 2015,Jeb Bush,5.28,
Nov 12 2015,Jeb Bush,2.52,
Nov 13 2015,Jeb Bush,1.84,
Nov 14 2015,Jeb Bush,1.36,
Nov 15 2015,Jeb Bush,1.59,
Nov 16 2015,Jeb Bush,1.63,
Nov 17 2015,Jeb Bush,1.68,
Nov 18 2015,Jeb Bush,1.93,
Nov 19 2015,Jeb Bush,1.74,
Nov 20 2015,Jeb Bush,1.40,
Nov 21 2015,Jeb Bush,1.21,
Nov 22 2015,Jeb Bush,1.12,
Nov 23 2015,Jeb Bush,1.09,
Nov 24 2015,Jeb Bush,1.29,
Nov 25 2015,Jeb Bush,1.12,
Nov 26 2015,Jeb Bush,0.90,
Nov 27 2015,Jeb Bush,0.80,
Nov 28 2015,Jeb Bush,0.98,
Nov 29 2015,Jeb Bush,0.96,
Nov 30 2015,Jeb Bush,0.93,
Dec 1 2015,Jeb Bush,1.12,
Dec 2 2015,Jeb Bush,1.16,
Dec 3 2015,Jeb Bush,1.17,
Dec 4 2015,Jeb Bush,1.28,
Dec 5 2015,Jeb Bush,1.21,
Dec 6 2015,Jeb Bush,1.19,
