key,value,date
Bernie Sanders,11.69,09/7/15
Bernie Sanders,9.11,09/8/15
Bernie Sanders,7.46,09/9/15
Bernie Sanders,10.63,09/10/15
Bernie Sanders,10.03,09/11/15
Bernie Sanders,10.53,09/12/15
Bernie Sanders,10.64,09/13/15
Bernie Sanders,13.29,09/14/15
Bernie Sanders,16.1,09/15/15
Bernie Sanders,13.15,09/16/15
Bernie Sanders,19.15,09/17/15
Bernie Sanders,15.75,09/18/15
Bernie Sanders,20.91,09/19/15
Bernie Sanders,15.77,09/20/15
Bernie Sanders,13.19,09/21/15
Bernie Sanders,11.47,09/22/15
Bernie Sanders,9.99,09/23/15
Bernie Sanders,8.2,09/24/15
Bernie Sanders,7.82,09/25/15
Bernie Sanders,7.35,09/26/15
Bernie Sanders,7.5,09/27/15
Bernie Sanders,6.84,09/28/15
Bernie Sanders,7.15,09/29/15
Bernie Sanders,6.95,09/30/15
Bernie Sanders,9.37,10/1/15
Bernie Sanders,7.61,10/2/15
Bernie Sanders,8.34,10/3/15
Bernie Sanders,8.66,10/4/15
Bernie Sanders,7.56,10/5/15
Bernie Sanders,7.25,10/6/15
Bernie Sanders,7.77,10/7/15
Bernie Sanders,7.89,10/8/15
Bernie Sanders,7.26,10/9/15
Bernie Sanders,8.04,10/10/15
Bernie Sanders,7.97,10/11/15
Bernie Sanders,8.64,10/12/15
Bernie Sanders,13.58,10/13/15
Bernie Sanders,72.04,10/14/15
Bernie Sanders,27.36,10/15/15
Bernie Sanders,19.45,10/16/15
Bernie Sanders,15.83,10/17/15
