Date,Candidate,Search interest (indexed 1-100)
Feb 14 2016,Hillary Clinton,17.38
Feb 15 2016,Hillary Clinton,14.39
Feb 16 2016,Hillary Clinton,17.51
Feb 17 2016,Hillary Clinton,19.37
Feb 18 2016,Hillary Clinton,16.98
Feb 19 2016,Hillary Clinton,20.46
Feb 20 2016,Hillary Clinton,23.64
Feb 21 2016,Hillary Clinton,33.98
Feb 22 2016,Hillary Clinton,20.12
Feb 23 2016,Hillary Clinton,18.68
Feb 24 2016,Hillary Clinton,24.81
Feb 25 2016,Hillary Clinton,22.21
Feb 26 2016,Hillary Clinton,24.30
Feb 27 2016,Hillary Clinton,23.99
Feb 28 2016,Hillary Clinton,37.94
Feb 29 2016,Hillary Clinton,23.27
Mar 1 2016,Hillary Clinton,34.45
Mar 2 2016,Hillary Clinton,62.45
Mar 3 2016,Hillary Clinton,35.34
Mar 4 2016,Hillary Clinton,30.62
Mar 5 2016,Hillary Clinton,23.97
Mar 6 2016,Hillary Clinton,31.17
Mar 7 2016,Hillary Clinton,33.80
Mar 8 2016,Hillary Clinton,24.64
Mar 9 2016,Hillary Clinton,35.59
Mar 10 2016,Hillary Clinton,32.18
Mar 11 2016,Hillary Clinton,25.48
Mar 12 2016,Hillary Clinton,26.53
Mar 13 2016,Hillary Clinton,26.42
Mar 14 2016,Hillary Clinton,28.23
Mar 15 2016,Hillary Clinton,33.44
Mar 16 2016,Hillary Clinton,58.52
Mar 17 2016,Hillary Clinton,32.72
Mar 18 2016,Hillary Clinton,25.50
Mar 19 2016,Hillary Clinton,21.19
Mar 20 2016,Hillary Clinton,19.23
Mar 21 2016,Hillary Clinton,19.48
Jan 1 2015,Bernie Sanders,0.00
Jan 2 2015,Bernie Sanders,0.53
Jan 3 2015,Bernie Sanders,0.57
Jan 4 2015,Bernie Sanders,0.59
Jan 5 2015,Bernie Sanders,0.49
Jan 6 2015,Bernie Sanders,0.51
Jan 7 2015,Bernie Sanders,0.51
Jan 8 2015,Bernie Sanders,0.50
Jan 9 2015,Bernie Sanders,0.51
Jan 10 2015,Bernie Sanders,0.52
Jan 11 2015,Bernie Sanders,0.53
Jan 12 2015,Bernie Sanders,0.57
Jan 13 2015,Bernie Sanders,0.47
Jan 14 2015,Bernie Sanders,0.57
Jan 15 2015,Bernie Sanders,0.52
Jan 16 2015,Bernie Sanders,0.52
Jan 17 2015,Bernie Sanders,0.48
Jan 18 2015,Bernie Sanders,0.48
Jan 19 2015,Bernie Sanders,0.48
Jan 20 2015,Bernie Sanders,0.48
Jan 21 2015,Bernie Sanders,0.57
Jan 22 2015,Bernie Sanders,0.50
Jan 23 2015,Bernie Sanders,0.57
Jan 24 2015,Bernie Sanders,0.55
Jan 25 2015,Bernie Sanders,0.51
Jan 26 2015,Bernie Sanders,0.50
Jan 27 2015,Bernie Sanders,0.46
Jan 28 2015,Bernie Sanders,0.51
Jan 29 2015,Bernie Sanders,0.55
Jan 30 2015,Bernie Sanders,0.55
Jan 31 2015,Bernie Sanders,0.56
Feb 1 2015,Bernie Sanders,0.65
Feb 2 2015,Bernie Sanders,0.45
Feb 3 2015,Bernie Sanders,0.47
Feb 4 2015,Bernie Sanders,0.51
Feb 5 2015,Bernie Sanders,0.51
Feb 6 2015,Bernie Sanders,0.55
Feb 7 2015,Bernie Sanders,0.56
Feb 8 2015,Bernie Sanders,0.57
Feb 9 2015,Bernie Sanders,0.57
Feb 10 2015,Bernie Sanders,0.76
Feb 11 2015,Bernie Sanders,0.63
Feb 12 2015,Bernie Sanders,0.48
Feb 13 2015,Bernie Sanders,0.48
Feb 14 2015,Bernie Sanders,0.57
Feb 15 2015,Bernie Sanders,0.61
Feb 16 2015,Bernie Sanders,0.50
Feb 17 2015,Bernie Sanders,0.49
Feb 18 2015,Bernie Sanders,0.52
Feb 19 2015,Bernie Sanders,0.51
Feb 20 2015,Bernie Sanders,0.47
Feb 21 2015,Bernie Sanders,0.57
Feb 22 2015,Bernie Sanders,0.66
Feb 23 2015,Bernie Sanders,0.57
Feb 24 2015,Bernie Sanders,0.54
Feb 25 2015,Bernie Sanders,0.44
Feb 26 2015,Bernie Sanders,0.54
Feb 27 2015,Bernie Sanders,0.48
Feb 28 2015,Bernie Sanders,0.57
Mar 1 2015,Bernie Sanders,0.49
Mar 2 2015,Bernie Sanders,0.53
Mar 3 2015,Bernie Sanders,0.50
Mar 4 2015,Bernie Sanders,0.64
Mar 5 2015,Bernie Sanders,0.58
Mar 6 2015,Bernie Sanders,0.50
Mar 7 2015,Bernie Sanders,0.54
Mar 8 2015,Bernie Sanders,0.56
Mar 9 2015,Bernie Sanders,0.48
Mar 10 2015,Bernie Sanders,0.59
Mar 11 2015,Bernie Sanders,0.58
Mar 12 2015,Bernie Sanders,0.56
Mar 13 2015,Bernie Sanders,0.55
Mar 14 2015,Bernie Sanders,0.58
Mar 15 2015,Bernie Sanders,0.61
Mar 16 2015,Bernie Sanders,0.55
Mar 17 2015,Bernie Sanders,0.49
Mar 18 2015,Bernie Sanders,0.54
